This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    28170
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    17180

Total number of variables............................:     5278
                     variables with only lower bounds:      990
                variables with lower and upper bounds:     4288
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4248
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 148  2.6653091e-02 1.78e-06 2.21e-05  -7.0 8.19e-04  -1.6 1.00e+00 1.00e+00h  1
 149  2.6652405e-02 1.45e-05 2.36e-05  -7.0 2.61e-03  -2.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  2.6646929e-02 9.50e-04 3.98e-05  -7.0 2.38e-02  -3.0 1.00e+00 1.00e+00h  1
 151  2.6644950e-02 1.22e-04 2.58e-05  -7.0 8.82e-03  -2.6 1.00e+00 1.00e+00h  1
 152  2.6644216e-02 1.68e-05 2.39e-05  -7.0 3.32e-03  -2.1 1.00e+00 1.00e+00h  1
 153  2.6642060e-02 1.45e-04 2.68e-05  -7.0 1.00e-02  -2.6 1.00e+00 1.00e+00h  1
 154  2.6639674e-02 1.79e-04 2.77e-05  -7.0 1.13e-02  -2.7 1.00e+00 1.00e+00h  1
 155  2.6637023e-02 2.22e-04 2.90e-05  -7.0 1.28e-02  -2.7 1.00e+00 1.00e+00h  1
 156  2.6634071e-02 2.79e-04 3.06e-05  -7.0 1.44e-02  -2.8 1.00e+00 1.00e+00h  1
 157  2.6630780e-02 3.54e-04 3.26e-05  -7.0 1.62e-02  -2.8 1.00e+00 1.00e+00h  1
 158  2.6627109e-02 4.51e-04 3.54e-05  -7.0 1.82e-02  -2.9 1.00e+00 1.00e+00h  1
 159  2.6625725e-02 6.34e-05 2.53e-05  -7.0 6.77e-03  -2.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  2.6613692e-02 5.28e-03 1.68e-04  -7.0 6.29e-02  -3.4 1.00e+00 1.00e+00h  1
 161  2.6599168e-02 1.03e-02 5.69e-04  -7.0 9.99e-02  -3.5 1.00e+00 1.00e+00h  1
 162  2.6598843e-02 9.09e-05 1.50e-05  -7.0 1.98e-03  -2.1 1.00e+00 1.00e+00h  1
 163  2.6596648e-02 1.48e-04 2.77e-05  -7.0 9.44e-03  -2.6 1.00e+00 1.00e+00h  1
 164  2.6594270e-02 1.84e-04 2.88e-05  -7.0 1.06e-02  -2.7 1.00e+00 1.00e+00h  1
 165  2.6593391e-02 2.52e-05 2.38e-05  -7.0 3.95e-03  -2.2 1.00e+00 1.00e+00h  1
 166  2.6585680e-02 1.83e-03 8.88e-05  -7.0 3.60e-02  -3.2 1.00e+00 1.00e+00h  1
 167  2.6582769e-02 2.47e-04 3.18e-05  -7.0 1.29e-02  -2.8 1.00e+00 1.00e+00h  1
 168  2.6557841e-02 1.86e-02 9.23e-04  -7.0 1.20e-01  -3.7 1.00e+00 1.00e+00h  1
 169  2.6555959e-02 5.42e-05 1.73e-05  -7.0 4.24e-03  -2.4 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  2.6555442e-02 5.97e-06 2.01e-05  -7.0 1.81e-03  -2.0 1.00e+00 1.00e+00h  1
 171  2.6554071e-02 4.96e-05 2.27e-05  -7.0 5.59e-03  -2.4 1.00e+00 1.00e+00h  1
 172  2.6542423e-02 3.85e-03 2.64e-04  -7.0 5.02e-02  -3.4 1.00e+00 1.00e+00h  1
 173  2.6529682e-02 4.54e-03 4.08e-04  -7.0 5.20e-02  -3.4 1.00e+00 1.00e+00h  1
 174  2.6528979e-02 1.02e-05 1.32e-05  -7.0 1.72e-03  -2.1 1.00e+00 1.00e+00h  1
 175  2.6527190e-02 8.78e-05 2.26e-05  -7.0 6.88e-03  -2.6 1.00e+00 1.00e+00h  1
 176  2.6526532e-02 1.23e-05 1.81e-05  -7.0 2.55e-03  -2.2 1.00e+00 1.00e+00h  1
 177  2.6520808e-02 9.76e-04 1.05e-04  -7.0 2.28e-02  -3.1 1.00e+00 1.00e+00h  1
 178  2.6518670e-02 1.33e-04 2.36e-05  -7.0 8.02e-03  -2.7 1.00e+00 1.00e+00h  1
 179  2.6517876e-02 1.88e-05 1.74e-05  -7.0 3.03e-03  -2.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  2.6511039e-02 1.48e-03 1.93e-04  -7.0 2.69e-02  -3.2 1.00e+00 1.00e+00h  1
 181  2.6510708e-02 2.81e-06 1.11e-05  -7.0 8.71e-04  -1.9 1.00e+00 1.00e+00h  1
 182  2.6509748e-02 2.88e-05 1.71e-05  -7.0 3.62e-03  -2.4 1.00e+00 1.00e+00h  1
 183  2.6509392e-02 4.04e-06 1.55e-05  -7.0 1.35e-03  -1.9 1.00e+00 1.00e+00h  1
 184  2.6506270e-02 3.23e-04 4.79e-05  -7.0 1.20e-02  -2.9 1.00e+00 1.00e+00h  1
